model_version,forecast_date,rmse,mae,ci_cov_pct,n_states
05_model-2,aug1,33.21,30.23,0.0,5
05_model-2,sep1,31.64,28.11,20.0,5
05_model-2,final,28.7,24.72,0.0,5
05_model1.1,aug1,28.38,25.11,0.0,5
05_model1.1,sep1,27.07,23.74,0.0,5
05_model1.1,final,26.09,22.07,0.0,5
05_model1.2,aug1,33.21,30.23,0.0,5
05_model1.2,sep1,31.64,28.11,20.0,5
05_model1.2,final,28.7,24.72,0.0,5
